id,doi,is_oa,source,oa_url,host_type
102,10.1080/10618600.2019.1710837,True,unpaywall,https://figshare.com/articles/dataset/Bayesian_Function-on-Scalars_Regression_for_High-Dimensional_Data/11555739,repository
103,10.3390/e22121363,True,unpaywall,https://doi.org/10.3390/e22121363,publisher
104,10.3390/math13030471,True,unpaywall,https://www.mdpi.com/2227-7390/13/3/471/pdf?version=1738322009,publisher
105,10.1007/s11425-024-2471-9,False,,,
106,10.1007/s13253-024-00601-5,True,unpaywall,https://link.springer.com/content/pdf/10.1007/s13253-024-00601-5.pdf,publisher
107,10.3150/20-BEJ1209,True,unpaywall,https://projecteuclid.org/journals/bernoulli/volume-26/issue-4/Asymptotic-properties-of-penalized-splines-for-functional-data/10.3150/20-BEJ1209.pdf,publisher
108,10.1080/10618600.2020.1806855,False,,,
109,10.1007/s11336-015-9478-5,False,,,
111,10.4310/21-SII688,True,semantic_scholar,https://arxiv.org/pdf/2106.10583,
112,10.1007/s11222-023-10213-7,True,unpaywall,https://link.springer.com/content/pdf/10.1007/s11222-023-10213-7.pdf,publisher
113,10.5705/ss.202018.0483,False,,,
114,10.1007/s11634-026-00681-w,True,unpaywall,https://doi.org/10.1007/s11634-026-00681-w,publisher
116,10.1109/TCBB.2024.3364614,True,unpaywall,https://pmc.ncbi.nlm.nih.gov/articles/PMC11301578/pdf/nihms-2000107.pdf,repository
117,10.1080/10485252.2023.2236722,False,,,
118,10.1016/j.jmva.2025.105522,False,,,
119,10.1080/02664763.2017.1322557,False,,,
120,10.1214/21-BA1274,True,unpaywall,https://projecteuclid.org/journals/bayesian-analysis/volume-17/issue-3/Bayesian-Dependent-Functional-Mixture-Estimation-for-Area-and-Time-Indexed/10.1214/21-BA1274.pdf,publisher
122,10.1002/sim.7582,True,unpaywall,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/sim.7582,publisher
123,10.1002/sam.70068,True,unpaywall,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/sam.70068,publisher
124,10.1007/s11222-025-10671-1,False,,,
125,10.1016/j.ecoinf.2024.102841,True,unpaywall,https://doi.org/10.1016/j.ecoinf.2024.102841,publisher
126,10.1093/biomet/asaa088,True,unpaywall,https://arxiv.org/pdf/1905.07067,repository
127,10.1080/10618600.2024.2431057,True,unpaywall,https://pmc.ncbi.nlm.nih.gov/articles/PMC12588091/,repository
128,10.1016/j.csda.2021.107416,True,unpaywall,https://arxiv.org/pdf/2103.11666,repository
129,10.1214/16-BA1003,True,unpaywall,https://projecteuclid.org/journals/bayesian-analysis/volume-12/issue-2/Bayesian-Estimation-of-Principal-Components-for-Functional-Data/10.1214/16-BA1003.pdf,publisher
130,10.3150/23-BEJ1662,True,semantic_scholar,http://arxiv.org/pdf/2206.04552,
131,10.1007/s10444-021-09908-0,True,unpaywall,https://arxiv.org/pdf/2002.08724,repository
132,10.18637/jss.v094.i08,True,unpaywall,https://www.jstatsoft.org/index.php/jss/article/view/v094i08/v94i08.pdf,publisher
133,10.1080/03610918.2024.2329991,False,,,
134,10.1007/978-3-031-42505-9_45,False,,,
135,10.1016/j.jmva.2021.104863,True,semantic_scholar,https://arxiv.org/pdf/2106.01150,
136,10.1111/biom.13684,True,unpaywall,https://arxiv.org/pdf/2006.10163,repository
137,10.1080/10618600.2022.2149540,True,unpaywall,https://pmc.ncbi.nlm.nih.gov/articles/PMC10584088/pdf/nihms-1862286.pdf,repository
138,10.1007/s11222-021-10066-y,False,,,
139,10.1007/s11222-016-9679-5,True,unpaywall,https://arxiv.org/pdf/1510.04439,repository
141,10.1007/s10687-017-0302-8,False,,,
144,10.1007/s11222-024-10474-w,True,unpaywall,https://link.springer.com/content/pdf/10.1007/s11222-024-10474-w.pdf,publisher
145,10.1093/biomet/asae055,True,unpaywall,https://academic.oup.com/biomet/article-pdf/112/1/asae055/59833568/asae055.pdf,publisher
146,10.1016/j.jmva.2020.104626,True,unpaywall,https://www.sciencedirect.com/science/article/pii/S0047259X19301745/pdf,publisher
147,10.1214/26-AOAS2159,False,,,
148,10.1007/s11222-020-09981-3,True,unpaywall,https://arxiv.org/pdf/1906.02269,repository
149,10.1080/07350015.2025.2475950,True,unpaywall,https://doi.org/10.1080/07350015.2025.2475950,publisher
150,10.1214/23-AOAS1827,True,unpaywall,https://scholars.cityu.edu.hk/en/publications/filtrated-common-functional-principal-component-analysis-of-multi,repository
152,10.1007/s10114-021-9172-8,False,,,
154,10.1093/jrsssc/qlae018,True,unpaywall,https://academic.oup.com/jrsssc/advance-article-pdf/doi/10.1093/jrsssc/qlae018/57115846/qlae018.pdf,publisher
155,10.1002/qre.3268,False,,,
156,10.1007/s10260-025-00830-z,True,unpaywall,https://link.springer.com/content/pdf/10.1007/s10260-025-00830-z.pdf,publisher
157,10.1080/02664763.2016.1247791,True,unpaywall,https://figshare.com/articles/journal_contribution/Multivariate_analysis_of_variance_for_functional_data/4056285,repository
158,10.1007/978-3-030-40014-9_1,False,,,
159,10.1007/s41060-023-00410-y,False,,,
160,10.1080/10618600.2023.2210184,True,unpaywall,https://figshare.com/articles/dataset/Learning_Block_Structured_Graphs_in_Gaussian_Graphical_Models/22756138,repository
162,10.1007/s11222-022-10175-2,True,semantic_scholar,https://arxiv.org/pdf/2211.04784,
163,10.1016/j.jeconom.2025.106149,False,,,
164,10.1007/s11222-024-10455-z,False,,,
