id,status,error,n_chars,method
820,error_fetch,HTTP Error 403: Forbidden,0,
825,ok,,43541,pdf
827,error_fetch,HTTP Error 403: Forbidden,0,
828,error_fetch,HTTP Error 403: Forbidden,0,
835,error_fetch,HTTP Error 403: Forbidden,0,
836,too_short,,167,html
841,too_short,,167,html
843,error_fetch,HTTP Error 403: Forbidden,0,
844,ok,,53582,pdf
847,error_fetch,HTTP Error 403: Forbidden,0,
848,too_short,,83,html
850,too_short,,167,html
851,error_fetch,HTTP Error 403: Forbidden,0,
852,ok,,30226,pdf
854,too_short,,167,html
856,too_short,,167,html
861,ok,,59691,html
866,ok,,53958,pdf
867,ok,,63943,html
868,ok,,14208,html
870,ok,,50426,html
872,error_fetch,HTTP Error 403: Forbidden,0,
873,ok,,25278,pdf
874,error_fetch,HTTP Error 403: Forbidden,0,
875,ok,,57439,pdf
876,ok,,70698,pdf
877,ok,,35024,pdf
879,ok,,4073,html
884,ok,,26754,pdf
885,ok,,44957,pdf
886,too_short,,397,html
887,error_fetch,HTTP Error 403: Forbidden,0,
888,error_fetch,HTTP Error 403: Forbidden,0,
889,ok,,3647,html
890,ok,,6778,html
891,error_fetch,HTTP Error 504: Gateway Time-out,0,
893,ok,,35494,pdf
894,ok,,55188,pdf
899,error_fetch,HTTP Error 403: Forbidden,0,
900,ok,,39422,pdf
901,ok,,64454,pdf
902,error_fetch,HTTP Error 403: Forbidden,0,
908,ok,,41954,pdf
910,ok,,145302,pdf
911,ok,,6569,html
915,too_short,,167,html
917,too_short,,11,html
918,ok,,83879,html
920,ok,,39035,html
923,ok,,29559,pdf
924,error_fetch,HTTP Error 403: Forbidden,0,
925,ok,,112445,pdf
928,error_fetch,HTTP Error 403: Forbidden,0,
929,ok,,29510,html
932,error_fetch,HTTP Error 403: Forbidden,0,
934,too_short,,11,html
935,ok,,59136,pdf
936,error_fetch,HTTP Error 403: Forbidden,0,
937,error_fetch,HTTP Error 403: Forbidden,0,
938,error_fetch,HTTP Error 403: Forbidden,0,
942,error_fetch,HTTP Error 403: Forbidden,0,
944,error_fetch,HTTP Error 403: Forbidden,0,
945,error_fetch,HTTP Error 403: Forbidden,0,
948,ok,,31695,pdf
949,error_fetch,HTTP Error 403: Forbidden,0,
950,error_fetch,HTTP Error 403: Forbidden,0,
954,error_fetch,<urlopen error timed out>,0,
955,error_fetch,HTTP Error 403: Forbidden,0,
956,error_fetch,HTTP Error 403: Forbidden,0,
958,ok,,3889,html
959,ok,,46102,pdf
961,error_fetch,HTTP Error 403: Forbidden,0,
962,too_short,,167,html
963,ok,,68989,pdf
964,ok,,52476,pdf
965,ok_dudoso_corto,,2339,html
966,ok,,66594,pdf
967,error_fetch,HTTP Error 403: Forbidden,0,
970,ok,,41494,html
971,error_fetch,HTTP Error 403: Forbidden,0,
972,ok,,87870,pdf
979,ok,,36034,pdf
982,ok,,4385,html
986,ok,,44610,pdf
995,ok,,68116,html
996,ok,,53332,pdf
1004,error_fetch,<urlopen error timed out>,0,
1009,ok,,30453,pdf
1012,ok,,35789,pdf
1018,ok,,48224,pdf
1020,ok,,65917,pdf
1024,ok,,41494,pdf
1026,too_short,,11,html
1039,blocked_antibot,,1205,html
1040,too_short,,0,html
1041,error_fetch,HTTP Error 404: Not Found,0,
1042,ok,,57405,pdf
1044,ok,,48727,pdf
1049,ok,,56720,pdf
1050,ok,,36040,pdf
1052,ok,,52717,pdf
1053,ok,,47719,pdf
1059,error_fetch,HTTP Error 403: Forbidden,0,
1062,too_short,,11,html
1063,error_fetch,HTTP Error 403: Forbidden,0,
1070,ok,,91783,pdf
1071,error_fetch,HTTP Error 403: Forbidden,0,
1072,error_fetch,HTTP Error 403: Forbidden,0,
1073,ok,,71000,pdf
1074,error_fetch,HTTP Error 403: Forbidden,0,
1077,ok,,42659,pdf
1078,error_fetch,HTTP Error 403: Forbidden,0,
1081,error_fetch,HTTP Error 403: Forbidden,0,
1082,ok,,246195,pdf
1083,error_fetch,HTTP Error 403: Forbidden,0,
1084,ok_dudoso_corto,,1914,html
1085,ok,,57949,pdf
1087,error_fetch,HTTP Error 403: Forbidden,0,
1088,ok,,104493,pdf
1089,too_short,,11,html
1090,too_short,,83,html
1091,ok,,35906,pdf
1092,ok,,65242,pdf
1094,ok,,6932,html
1095,ok,,70628,pdf
1097,ok,,37578,pdf
1099,ok,,66941,pdf
1102,error_fetch,HTTP Error 403: Forbidden,0,
1103,ok,,37948,pdf
1104,ok,,58684,pdf
1107,error_fetch,HTTP Error 403: Forbidden,0,
1108,ok,,70572,pdf
1110,error_fetch,HTTP Error 403: Forbidden,0,
1111,ok,,51508,pdf
1113,ok,,71142,pdf
1115,ok,,3120,html
1116,error_fetch,HTTP Error 403: Forbidden,0,
1118,error_fetch,HTTP Error 403: Forbidden,0,
1120,error_fetch,HTTP Error 403: Forbidden,0,
1122,ok,,69441,pdf
1126,ok,,5365,html
1130,ok,,96340,pdf
1131,too_short,,11,html
1132,ok,,3406,html
1134,too_short,,82,html
1135,error_fetch,HTTP Error 403: Forbidden,0,
1137,error_fetch,HTTP Error 403: Forbidden,0,
1141,error_fetch,HTTP Error 403: Forbidden,0,
1142,error_fetch,HTTP Error 403: Forbidden,0,
1143,ok,,119682,pdf
1144,too_short,,82,html
1149,ok,,60952,pdf
1150,error_fetch,HTTP Error 403: Forbidden,0,
1151,error_fetch,HTTP Error 403: Forbidden,0,
1154,error_fetch,HTTP Error 403: Forbidden,0,
1155,ok,,42921,pdf
1156,error_fetch,HTTP Error 503: Service Unavailable,0,
1157,error_fetch,HTTP Error 403: Forbidden,0,
1158,too_short,,11,html
1159,too_short,,82,html
1161,ok,,104293,pdf
1162,too_short,,82,html
1164,error_fetch,HTTP Error 403: Forbidden,0,
1167,too_short,,82,html
1168,ok,,45916,pdf
1169,error_fetch,HTTP Error 403: Forbidden,0,
1171,error_fetch,HTTP Error 403: Forbidden,0,
1172,error_fetch,HTTP Error 403: Forbidden,0,
1173,error_fetch,HTTP Error 403: Forbidden,0,
1174,error_fetch,HTTP Error 403: Forbidden,0,
1175,too_short,,0,html
1176,too_short,,0,html
1183,error_fetch,HTTP Error 403: Forbidden,0,
1184,ok,,49927,pdf
1186,error_fetch,HTTP Error 403: Forbidden,0,
1187,ok,,60504,pdf
1188,ok,,51952,pdf
1189,error_fetch,HTTP Error 403: Forbidden,0,
1190,error_fetch,HTTP Error 403: Forbidden,0,
1192,error_fetch,HTTP Error 403: Forbidden,0,
1196,ok,,75662,pdf
1197,ok,,37642,pdf
1198,error_fetch,HTTP Error 403: Forbidden,0,
1201,ok,,50677,pdf
1202,error_fetch,HTTP Error 403: Forbidden,0,
1204,error_fetch,HTTP Error 403: Forbidden,0,
1206,too_short,,81,html
1207,ok,,42887,pdf
1209,ok,,3671,pdf
1212,error_fetch,HTTP Error 403: Forbidden,0,
1213,error_fetch,<urlopen error timed out>,0,
1215,ok,,60774,pdf
1218,error_fetch,HTTP Error 403: Forbidden,0,
1219,error_fetch,HTTP Error 403: Forbidden,0,
1224,error_fetch,HTTP Error 403: Forbidden,0,
1226,error_fetch,HTTP Error 403: Forbidden,0,
1228,too_short,,82,html
1229,too_short,,82,html
1231,error_fetch,HTTP Error 403: Forbidden,0,
1232,error_fetch,HTTP Error 403: Forbidden,0,
1234,too_short,,0,html
1235,error_fetch,HTTP Error 403: Forbidden,0,
1236,too_short,,11,html
1237,error_fetch,HTTP Error 403: Forbidden,0,
1238,error_fetch,HTTP Error 403: Forbidden,0,
1239,error_fetch,HTTP Error 403: Forbidden,0,
1240,error_fetch,The read operation timed out,0,
1242,too_short,,11,html
1243,too_short,,0,html
1244,error_fetch,HTTP Error 403: Forbidden,0,
1249,error_fetch,HTTP Error 403: Forbidden,0,
1251,ok,,30492,pdf
1253,blocked_antibot,,1200,html
1254,error_fetch,HTTP Error 403: Forbidden,0,
1255,ok,,39626,pdf
1259,too_short,,11,html
1261,ok,,58885,pdf
1264,ok,,23748,html
1271,ok,,44850,pdf
1272,ok,,7584,html
1273,error_fetch,HTTP Error 403: Forbidden,0,
1276,ok,,194322,pdf
1277,too_short,,81,html
1278,ok,,64867,pdf
1279,error_fetch,The read operation timed out,0,
1280,error_fetch,HTTP Error 403: Forbidden,0,
1286,ok,,105946,pdf
1287,too_short,,11,html
1288,error_fetch,HTTP Error 403: Forbidden,0,
1293,error_fetch,HTTP Error 403: Forbidden,0,
1295,error_fetch,<urlopen error timed out>,0,
1297,error_fetch,HTTP Error 403: Forbidden,0,
1299,error_fetch,HTTP Error 403: Forbidden,0,
1301,ok,,7437,html
1305,ok,,64657,pdf
1306,error_fetch,HTTP Error 403: Forbidden,0,
1311,too_short,,82,html
1312,too_short,,82,html
1313,ok,,65019,html
1316,too_short,,82,html
1318,too_short,,11,html
1319,error_fetch,HTTP Error 403: Forbidden,0,
1320,error_fetch,HTTP Error 403: Forbidden,0,
1329,error_fetch,HTTP Error 403: Forbidden,0,
1330,ok,,51917,pdf
1331,error_fetch,HTTP Error 403: Forbidden,0,
1332,ok,,76794,pdf
1333,too_short,,82,html
1336,ok,,61984,pdf
1339,too_short,,81,html
1340,too_short,,82,html
1341,too_short,,0,html
1345,ok,,118841,pdf
1346,too_short,,82,html
1347,ok,,5086,html
1350,ok,,29187,pdf
1351,error_fetch,HTTP Error 403: Forbidden,0,
1352,too_short,,11,html
1354,error_fetch,HTTP Error 403: Forbidden,0,
1355,ok,,41434,pdf
1358,error_fetch,HTTP Error 403: Forbidden,0,
1359,error_fetch,HTTP Error 403: Forbidden,0,
1361,error_fetch,HTTP Error 403: Forbidden,0,
1363,ok,,84179,pdf
1364,too_short,,11,html
1365,error_fetch,HTTP Error 403: Forbidden,0,
1366,error_fetch,HTTP Error 403: Forbidden,0,
1370,ok,,85369,pdf
1371,error_fetch,HTTP Error 403: Forbidden,0,
1372,too_short,,82,html
1373,too_short,,81,html
1374,error_fetch,HTTP Error 403: Forbidden,0,
1375,error_fetch,HTTP Error 403: Forbidden,0,
1377,ok,,62506,pdf
1378,error_fetch,HTTP Error 403: Forbidden,0,
1379,error_fetch,HTTP Error 403: Forbidden,0,
1380,blocked_antibot,,1200,html
1382,error_fetch,HTTP Error 403: Forbidden,0,
1383,ok,,64844,pdf
1384,too_short,,169,html
1386,error_fetch,HTTP Error 403: Forbidden,0,
1389,error_fetch,HTTP Error 403: Forbidden,0,
1392,too_short,,82,html
1395,error_fetch,HTTP Error 403: Forbidden,0,
1396,too_short,,11,html
1400,too_short,,82,html
1403,error_fetch,HTTP Error 403: Forbidden,0,
1404,ok,,55804,pdf
1405,error_fetch,HTTP Error 403: Forbidden,0,
1408,ok,,18879,html
1409,too_short,,11,html
1411,error_fetch,HTTP Error 403: Forbidden,0,
1414,error_fetch,HTTP Error 403: Forbidden,0,
1416,error_fetch,HTTP Error 403: Forbidden,0,
1417,ok,,19274,html
1419,ok,,32114,pdf
1420,ok,,61662,pdf
1421,error_fetch,HTTP Error 403: Forbidden,0,
1423,ok,,6800,html
1424,error_fetch,HTTP Error 403: Forbidden,0,
1425,ok,,48749,pdf
1426,ok,,55788,pdf
1428,error_fetch,HTTP Error 403: Forbidden,0,
1429,ok,,47371,pdf
1431,ok,,62159,pdf
1432,too_short,,82,html
1434,error_fetch,HTTP Error 403: Forbidden,0,
1437,ok,,96528,pdf
1439,too_short,,81,html
1442,error_fetch,HTTP Error 403: Forbidden,0,
1443,too_short,,6,html
1444,ok,,38255,pdf
1445,ok,,39943,html
1446,ok,,53110,pdf
1450,ok,,55289,pdf
1451,blocked_antibot,,1200,html
1455,too_short,,82,html
1460,too_short,,0,html
1463,ok,,64623,pdf
1464,error_fetch,HTTP Error 403: Forbidden,0,
1469,ok,,46019,pdf
1471,too_short,,82,html
1472,ok,,61162,pdf
1474,too_short,,6,html
1475,too_short,,82,html
1476,error_fetch,HTTP Error 403: Forbidden,0,
1479,ok,,70999,pdf
1480,ok,,70712,pdf
1481,error_fetch,HTTP Error 403: Forbidden,0,
1483,too_short,,11,html
1486,ok,,52935,pdf
1488,error_fetch,HTTP Error 403: Forbidden,0,
1489,error_fetch,HTTP Error 403: Forbidden,0,
1490,error_fetch,HTTP Error 403: Forbidden,0,
1491,error_fetch,<urlopen error timed out>,0,
1493,error_fetch,HTTP Error 403: Forbidden,0,
1494,blocked_antibot,,1200,html
1495,ok,,48399,pdf
1497,ok,,87880,pdf
1498,too_short,,11,html
1500,ok,,56592,pdf
1501,error_fetch,HTTP Error 403: Forbidden,0,
1502,error_fetch,HTTP Error 403: Forbidden,0,
1503,ok,,39160,pdf
1504,error_fetch,HTTP Error 403: Forbidden,0,
1506,too_short,,82,html
1507,error_fetch,HTTP Error 403: Forbidden,0,
1508,ok,,121045,html
1511,too_short,,82,html
1516,error_fetch,HTTP Error 403: Forbidden,0,
1517,ok_dudoso_corto,,2069,html
1520,too_short,,81,html
1521,ok,,91398,pdf
1522,ok,,9796,html
1526,error_fetch,HTTP Error 403: Forbidden,0,
1529,ok,,40687,pdf
1536,error_fetch,HTTP Error 404: Not Found,0,
1542,error_fetch,<urlopen error timed out>,0,
1543,error_fetch,HTTP Error 403: Forbidden,0,
1544,error_fetch,HTTP Error 403: Forbidden,0,
1546,ok,,45398,pdf
1548,error_fetch,HTTP Error 403: Forbidden,0,
1549,ok,,25373,pdf
1550,too_short,,81,html
1551,error_fetch,HTTP Error 403: Forbidden,0,
1555,error_fetch,<urlopen error timed out>,0,
1556,ok,,43655,pdf
1557,too_short,,11,html
1562,ok,,39497,pdf
1564,too_short,,11,html
1568,too_short,,82,html
1570,error_fetch,HTTP Error 403: Forbidden,0,
1572,too_short,,81,html
